,2
1483,PSMC4
1484,PSMC4-1
1485,PTGES
1486,LENG8-2
1487,PCM1
1488,HNRNPR-1
1489,SLC1A6
1490,LCE1F
1491,RAB31
1492,SAMD9
1493,CCDC85C
1494,PTGR1
1495,PLK2
1496,NOC2L
1497,IKZF1
1498,CMTM3
1499,WSB2
1500,NCAPG2
1501,BBOX1
1502,ASCC3
1503,ATIC
1504,ATXN10
1505,DSC1
1506,SRD5A3
1507,BAZ1A
1508,VPS35
1509,THEMIS2
1510,SF3A3
1511,CNN3
1512,SUNO1
1513,HSPA7
1514,RPL22L1
1515,MRPL37
1516,CEBPB
1517,STAP2
1518,FAM110C
1519,CLNS1A
1520,UFC1
1521,GTPBP4
1522,ODC1
1523,RGS2
1524,CWC27
1525,SNRNP40
1526,SPI1
1527,CKAP2
1528,SDR16C5
1529,RALBP1
1530,IRF8
1531,TREX2
1532,APEX2
1533,SERPINB9
1534,GFUS-1
1535,PTPN13
1536,NBN
1537,TP53
1538,PITPNA
1539,ACADVL
1540,COX6B1
1541,EPOP
1542,GART
1543,AARS1
1544,AKNA
1545,HMGB1
1546,ENSG00000289316
1547,SERPINE1
1548,FUBP1
1549,COPG1
1550,PSMB5
1551,YWHAE-1
1552,ENSG00000265401
1553,SKIV2L
1554,EMP1
1555,TNFSF14
1556,RAP2B
1557,TMEM176B
1558,RPLP0
1559,IGFL1
1560,IMP3
1561,ZMAT2
1562,WDFY4
1563,SLC16A1-1
1564,SHFL
1565,HIF1A
1566,GRB2
1567,ACKR4
1568,HNRNPL
1569,NOP14
1570,TXNDC17
1571,BIRC5
1572,SLPI
1573,TNFAIP8
1574,YBX3
1575,MAP4K4
1576,LTV1
1577,TGFB1
1578,NARS1
1579,HCP5-2
1580,TMEM30A
1581,CWH43
1582,CYFIP1
1583,ENSG00000286600
1584,CPT1A
1585,NASP
1586,PPP1R7
1587,RHOG
1588,HSD17B12
1589,SNRPC
1590,ENSG00000269741
1591,DNAJC8-1
1592,DNAJC8
1593,SYAP1
1594,PSMD3
1595,RASSF5
1596,SNX20
1597,PRMT5
1598,NOL7
1599,IL2RB
1600,CSNK2B-5
1601,EIF2A
1602,RELCH
1603,AP3B1
1604,SIGLEC1
1605,UQCRFS1
1606,SLC35A4
1607,BMS1
1608,SRSF2
1609,ENSG00000284292
1610,AKT1S1
1611,GRPEL1
1612,MTIF2
1613,SPAG5
1614,LSG1
1615,PBDC1
1616,CLINT1
1617,STARD7
1618,TNFRSF12A
1619,RBBP6
1620,SLC28A3
1621,RFC2
1622,SLC35B1
1623,TUT7
1624,ARG1
1625,BTG3
1626,RBMS1
1627,ADAM9
1628,GPATCH4
1629,TTC22
1630,RNF20
1631,COPB1
1632,PITHD1
1633,CCNK
1634,YKT6
1635,DYNLT1
1636,POLB
1637,TCF19-4
1638,TCF19-3
1639,SAP18
1640,SCO2
1641,PRDX4
1642,TTYH3
1643,NDC80
1644,RNF39-7
1645,TCEAL9
1646,HLA-E-5
1647,HLA-E-1
1648,HLA-E-3
1649,HLA-E-4
1650,FUT3
1651,PDPN
1652,CSNK2B-6
1653,XPOT
1654,RAB1A
1655,CSF2RA
1656,FERMT3
1657,PRKAG1
1658,NIFK
1659,PRPF38A
1660,UBAP1
1661,ASPM
